Reference,Value,Datasheet,Footprint,Qty,mouser #,DNP,Mouser link
BT1,Battery_Cell,~,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,306-B2BPHKSLFSNPP,,https://www.mouser.com/ProductDetail/Molex/217175-0001?qs=DRkmTr78QARWJMiqNnldSg%3D%3D&mgh=1&utm_id=17222215321&gad_source=1&gclid=Cj0KCQiAhbi8BhDIARIsAJLOluci7J-J-Z17AcXmULPvoy1auve3esyGofVSKI4L5EHJKiuY_xgszD0aAmBfEALw_wcB
"C1,C2,C4,C10,C11",0.1uF,~,Capacitor_SMD:C_0805_2012Metric,5,581-KAF21KR72A104KL,,
C3,0.8pF,~,Capacitor_SMD:C_0805_2012Metric,1,581-600F0R8BT,,https://www.mouser.com/ProductDetail/KYOCERA-AVX/600F0R8BT250XT?qs=sGAEpiMZZMsh%252B1woXyUXjychPV2OuKV0KB6UBpmQs0Q%3D
"C5,C6,C12,C13",12p,~,Capacitor_SMD:C_0805_2012Metric,4,581-08055A120CAT2A,,
C7,100pF,~,Capacitor_SMD:C_0805_2012Metric,1,80-C0805C101KCRTU,,
C8,1uF,~,Capacitor_SMD:C_0805_2012Metric,1,187-CL21B105KAFNNNG,,
C9,4.7uF,~,Capacitor_SMD:C_0805_2012Metric,1,,,
D1,D_Schottky,~,A_wearables:SOD2513X120N,1,,,
"D2,D3",LED,~,LED_SMD:LED_0805_2012Metric,2,,,
D4,1N4148,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,Diode_SMD:D_SOD-323_HandSoldering,1,,,
IC1,MCP73831T-2ACI_OT,http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf,Package_TO_SOT_SMD:SOT-23-5,1,,,
J1,Conn_01x04,~,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,,,
J2,217175-0001,https://www.molex.com/pdm_docs/sd/2171750001_sd.pdf,A_wearables:2171750001,1,,,
J3,Conn_01x03,~,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1,,,
L1,3.9nH,~,Inductor_SMD:L_0805_2012Metric,1,,,
L2,10uH,~,Inductor_SMD:L_0805_2012Metric,1,,,
L3,15nH,~,Inductor_SMD:L_0805_2012Metric,1,,,
M1,Motor_DC,~,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,,,
Q1,PMOS,https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs,A_wearables:SOT96P240X110-3N,1,,,
Q2,NPN,https://www.mouser.com/ProductDetail/Comchip-Technology/SS8050-HF?qs=T%252BzbugeAwjjubHjgf%252BCy6w%3D%3D,A_wearables:SOT95P240X115-3N,1,,,
"R1,R10",4.7k,~,Resistor_SMD:R_0805_2012Metric,2,,,
"R2,R3",5.1k,~,Resistor_SMD:R_0805_2012Metric,2,,,
"R4,R9",10k,~,Resistor_SMD:R_0805_2012Metric,2,,,
R5,R_Variable,~,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Horizontal,1,,,
"R6,R7",300,~,Resistor_SMD:R_0805_2012Metric,2,,,
R8,2k,~,Resistor_SMD:R_0805_2012Metric,1,,,
SW1,Reset,,Button_Switch_SMD:SW_SPST_B3SL-1002P,1,,,
TP1,VBUS_TP,~,TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,,,
TP2,VBAT_TP,~,TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,,,
TP3,VCC/VIN_TP,~,TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,,,
TP4,i2c SDA,~,TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,,,
TP5,i2c SCL,~,TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,,,
"TP6,TP7",IMU INT,~,TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,2,,,
U1,nRF52811-QCxx,https://infocenter.nordicsemi.com/pdf/nRF52811_PS_v1.0.pdf,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,1,,,
U3,BMI270,,A_wearables:XDCR_BMI270,1,,,
U4,MCP1700x-330xxMB,http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf,Package_TO_SOT_SMD:SOT-89-3,1,,,
U5,2450AT18A100E,2450AT18A100E,A_wearables:2450AT18A100E_JOT,1,,,
Y1,ABM10W-32.0000MHZ-8-B1U-T3,https://componentsearchengine.com/Datasheets/1/ABM10W-32.0000MHZ-8-B1U-T3.pdf,A_wearables:ABM10W240000MHZ8K1ZT3,1,,,
Y2,Crystal,~,Crystal:Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm,1,,,
